name_of_facility,latitude,longitude,address,city,state,zip,county,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
AN ANGELS TOUCH HHS LLC,34.844896,-82.366189,1402 Laurens Rd,Greenville,SC,29607,Greenville County,US,Match,Exact,38303353,R,45,045,004300,4005
ANCHOR REHABILITATION AND HEALTHCARE CENTER OF AIKEN,33.501074,-81.725441,168 Sweet Gum Ln,Aiken,SC,29803,Aiken County,US,Match,Exact,65012030,R,45,003,021205,1011
ANDERSON HOME CARE,34.143971,-80.935402,500 Longtown Rd,Columbia,SC,29229,Richland County,US,Match,Exact,71807517,R,45,079,010108,1000
ANDERSON OAKS ASSISTED LIVING,33.822594,-78.995365,1038 Forest Dr,Conway,SC,29526,Horry County,US,Match,Exact,29051591,R,45,051,060403,1037
ANDERSON-OCONEE BEHAVIORAL HEALTH SERVICES,34.534726,-82.687014,226 McGee Rd,Anderson,SC,29625,Anderson County,US,Match,Non_Exact,25509997,R,45,007,001000,1041
ANGEL ARMS IN HOME PERSONAL CARE SERVICE LLC,32.878295,-81.120982,1560 US Hwy 278,Hampton,SC,29924,Hampton County,US,No_Match,,,,,,,
ANGEL CARE HOME CARE LLC,34.274858,-81.618793,1303 Main St,Newberry,SC,29108,Newberry County,US,Match,Exact,45372590,L,45,071,950203,1052
ANGEL HEARTS,34.122581,-79.779163,3654 S Irby St,Florence,SC,29505,Florence County,US,Match,Non_Exact,619632198,R,45,041,001505,1038
ANGEL WATCHERS,33.890854,-78.691902,71 Cloverleaf Dr,Longs,SC,29568,Horry County,US,No_Match,,,,,,,
ANGELIC ADULT DAY CARE,35.084691,-81.634651,140 4th Ave,Gaffney,SC,29340,Cherokee County,US,Match,Exact,19000907,R,45,021,970302,2019
ANGELIC HANDS OF THE CAROLINAS HOMECARE LLC,34.822137,-82.289918,1200 Woodruff Rd,Greenville,SC,29607,Greenville County,US,Match,Exact,635858548,R,45,045,002805,1037
ANGELIC HEALTH CARE INC,34.172679,-79.764947,1222 S Irby St,Florence,SC,29505,Florence County,US,Match,Non_Exact,653317040,L,45,041,000600,3037
ANGELIC HEALTH OF SC,33.759486,-78.816772,944 82nd Pkwy,Myrtle Beach,SC,29572,Horry County,US,Match,Exact,607104835,R,45,051,050303,1036
ANGELIC HEARTS HOMECARE AGENCY LLC,34.854117,-82.456081,6137 White Horse Rd,Greenville,SC,29611,Greenville County,US,No_Match,,,,,,,
ANGELIC HELPERS,34.03533,-81.01382,3889 W Beltline Blvd,Columbia,SC,29204,Richland County,US,Match,Non_Exact,647351708,L,45,079,011000,1005
ANGELIC HOME CARE & CONCIERGE SERVICES,32.7976,-79.99647,4 Carriage Ln,Charleston,SC,29407,Charleston County,US,Match,Exact,618590742,R,45,019,002605,2008
ANGELIC HOMECARE,35.084691,-81.634651,140 4th Ave,Gaffney,SC,29340,Cherokee County,US,Match,Exact,19000907,R,45,021,970302,2019
ANGELIC IN-HOME CARE,34.351519,-79.914418,319 Rhodes Community Rd,Darlington,SC,29540,Darlington County,US,Match,Exact,640568436,L,45,031,010902,1034
ANGELIC'S PLACE,33.91749,-80.356384,903 W Bartlette St,Sumter,SC,29150,Sumter County,US,Match,Non_Exact,202669618,L,45,085,001300,1010
ANGEL'S BEST HOME CARE LLC,34.947664,-82.099313,10543 Greenville Hwy 10545,Wellford,SC,29385,Spartanburg County,US,Match,Exact,19512000,L,45,083,023401,2021
ANGEL'S IN-PLACE HOME CARE,35.054825,-81.008419,144 Bw Thomas Dr,Fort Mill,SC,29708,York County,US,No_Match,,,,,,,
ANGELS SITTER SERVICE,32.755555,-79.972909,451 Folly Rd,Charleston,SC,29412,Charleston County,US,No_Match,,,,,,,
ANIMATED CANVAS CUSTOM TATTOO,34.001571,-81.037475,1300 Park St,Columbia,SC,29201,Richland County,US,Match,Exact,71820690,R,45,079,003100,2035
ANIMATED CANVAS OF LEXINGTON,33.973128,-81.151976,4316 Augusta Rd,Lexington,SC,29073,Lexington County,US,Match,Exact,70052325,L,45,063,021020,1003
ANMED HEALTH CANNON,34.874274,-82.707175,123 W G Acker Dr,Pickens,SC,29671,Pickens County,US,Match,Exact,26191902,L,45,077,010404,2012
ANMED HEALTH HOME HEALTH AGENCY,34.538489,-82.626655,1926 McConnell Springs Rd,Anderson,SC,29621,Anderson County,US,Match,Exact,637231300,R,45,007,011203,1031
ANMED HEALTH MEDICAL CENTER,34.51119,-82.644825,602 Summitt Ave,Anderson,SC,29621,Anderson County,US,Match,Exact,25486352,R,45,007,000200,2054
ANMED HEALTH MEDICUS SURGERY CENTER,34.535348,-82.632722,109 Professional Ct,Anderson,SC,29621,Anderson County,US,Match,Exact,25496451,L,45,007,000300,3000
ANMED HEALTH REHABILITATION HOSPITAL,34.53708,-82.629083,111 Simpson Rd,Anderson,SC,29621,Anderson County,US,Match,Exact,647387221,L,45,007,011203,1030
ANMED HEALTH WOMEN'S AND CHILDREN'S HOSPITAL,34.544958,-82.627243,2000 E Greenville St,Anderson,SC,29621,Anderson County,US,Match,Non_Exact,604690877,L,45,007,011204,2018
ANNIES ANGELS HOME CARE,34.7871,-82.290276,408 E Butler Rd,Mauldin,SC,29662,Greenville County,US,Tie,,,,,,,
ANOINTED RESIDENTIAL CARE,33.909248,-80.344338,551 S Sumter St,Sumter,SC,29150,Sumter County,US,Tie,,,,,,,
ANOINTED RESIDENTIAL CARE #2,33.911892,-80.344122,511 S Sumter St,Sumter,SC,29150,Sumter County,US,Match,Non_Exact,202669728,R,45,085,001500,2003
ANOTHER LEVEL IN-HOME CARE,34.061985,-80.957028,6933 N Trenholm Rd,Columbia,SC,29206,Richland County,US,Match,Non_Exact,645314353,L,45,079,011102,1007
ARBOR LANDING AT PAWLEYS,33.420791,-79.175662,7419 Ocean Hwy,Pawleys Island,SC,29585,Georgetown County,US,No_Match,,,,,,,
ARBORETUM AT THE WOODLANDS,34.935712,-82.443924,50 Arboretum Ln,Greenville,SC,29617,Greenville County,US,Match,Exact,624936059,R,45,045,003803,1007
ARBORETUM AT THE WOODLANDS AT FURMAN,34.935712,-82.443924,50 Arboretum Ln,Greenville,SC,29617,Greenville County,US,Match,Exact,624936059,R,45,045,003803,1007
ARCADIA HOSPICE,32.292481,-80.907989,1024 Berkeley Hall Blvd,Okatie,SC,29909,Beaufort County,US,Match,Exact,641713967,R,45,013,002201,1003
ARCHANGEL HOME CARE LLC,33.860305,-78.662503,4207 Sea Mountain Hwy,Little River,SC,29566,Horry County,US,No_Match,,,,,,,
ARCHIE DRIVE GROUP HOME,34.098712,-80.934775,114 Flora Way,Columbia,SC,29223,Richland County,US,Match,Exact,71822487,R,45,079,011420,2012
ARDENT HOSPICE & PALLIATIVE CARE OF SC,33.577272,-79.020601,917 Mt Gilead Rd,Murrells Inlet,SC,29576,Horry County,US,No_Match,,,,,,,
ARIES HOME CARE,32.929729,-80.06872,3194 Landmark Dr,North Charleston,SC,29418,Charleston County,US,Match,Exact,605506650,L,45,019,003108,2001
"ARNDT, JENNIFER L.",33.993115,-81.228403,5617 Sunset Blvd,Lexington,SC,29072,Lexington County,US,Match,Exact,647270589,R,45,063,021031,3000
"ARNDT, MICHAEL J.",34.025342,-81.223641,22 Boardwalk Ln,Lexington,SC,29072,Lexington County,US,Match,Exact,70086244,L,45,063,021025,1004
ART OF LIVING COMMUNITY & SUPPORT SERVICES,33.678505,-79.829492,NA US 52,Kingstree,SC,29556,Williamsburg County,US,No_Match,,,,,,,
ARTISTIC DIMENSIONS,33.951654,-80.371343,393 Rast St,Sumter,SC,29150,Sumter County,US,Match,Exact,202704355,R,45,085,000901,1034
ARTISTIC INK III,33.033359,-80.161241,1111 N Main St,Summerville,SC,29483,Berkeley County,US,Tie,,,,,,,
ASH-COURT COMPANION CARE LLC,33.665034,-79.825244,311 State Hwy 261,Kingstree,SC,29556,Williamsburg County,US,No_Match,,,,,,,
ASHLAN VILLAGE,34.97385,-82.142061,415 Brenda Way,Lyman,SC,29365,Spartanburg County,US,Match,Exact,640587544,L,45,083,023004,2023
ASHLEY GARDENS ALZHEIMER'S SPECIAL CARE CENTER,32.803211,-80.041405,2310 Henry Tecklenburg Dr,Charleston,SC,29414,Charleston County,US,No_Match,,,,,,,
ASHLEY LANDING ASSISTED LIVING,32.874397,-80.062009,4863 Great Oak Dr,North Charleston,SC,29418,Charleston County,US,Match,Exact,649790666,L,45,019,003110,4009
ASHLEY PLACE,34.233375,-82.160743,526 Haltiwanger Rd,Greenwood,SC,29649,Greenwood County,US,Match,Exact,50819346,L,45,047,970202,1011
ASHLEY RIVER PLANTATION,32.822472,-80.037819,2333 Ashley River Rd,Charleston,SC,29414,Charleston County,US,Match,Exact,635601915,L,45,019,002613,2000
ASPIRE STAFFING,34.144127,-80.885955,1 Trentridge Ct,Columbia,SC,29229,Richland County,US,Match,Exact,625373259,L,45,079,011417,2008
ASSISTED CARE SERVICES INC,34.015175,-81.005116,1656 Devonshire Dr,Columbia,SC,29204,Richland County,US,Match,Exact,71821894,R,45,079,001100,1042
ASSISTED HOME CARE,33.409403,-79.286641,2501 N Fraser St,Georgetown,SC,29440,Georgetown County,US,Tie,,,,,,,
ASSISTING HANDS HOME CARE,33.993962,-81.231487,104 Hamilton St,Lexington,SC,29072,Lexington County,US,Match,Exact,645045057,L,45,063,021049,1016
ASSURANCE HEALTHCARE SERVICES,34.510497,-82.651372,804 N Main St,Anderson,SC,29621,Anderson County,US,Match,Non_Exact,25451260,R,45,007,000200,2062
ASSURANCE PERSONAL CARE,32.85179,-79.962873,1841 Norwood St,North Charleston,SC,29405,Charleston County,US,Match,Exact,108804891,L,45,019,004300,3002
ASTONISHING ANGELS HOMECARE LLC,34.860414,-82.37512,1627 E North St,Greenville,SC,29607,Greenville County,US,No_Match,,,,,,,
AT EASE HOME CARE LLC,33.939036,-80.371989,634 Bultman Dr,Sumter,SC,29150,Sumter County,US,Match,Exact,202672656,L,45,085,000901,2024
AT HOME PROFESSIONAL CARE OF SOUTH CAROLINA LLC,34.667454,-82.39455,8809 A Augusta Rd,Pelzer,SC,29669,Greenville County,US,Match,Exact,38314569,R,45,045,003303,2019
AT HOME SENIOR CARE,34.276274,-81.614486,1702 Main St,Newberry,SC,29108,Newberry County,US,Match,Exact,45372473,R,45,071,950203,1028
AT HOME SENIOR CARE HOSPICE LLC,34.276274,-81.614486,1702 Main St,Newberry,SC,29108,Newberry County,US,Match,Exact,45372473,R,45,071,950203,1028
AT YOUR SERVICE HOME CARE LLC,33.939632,-80.371185,645 Bultman Dr,Sumter,SC,29150,Sumter County,US,Match,Exact,202672656,R,45,085,000901,2004
ATKINSON EAST COMMUNITY RESIDENCE,33.918424,-80.339136,11 Kendrick St,Sumter,SC,29150,Sumter County,US,Match,Exact,202669585,R,45,085,001300,2018
ATKINSON WEST COMMUNITY RESIDENCE,33.935141,-80.366277,162 Community St,Sumter,SC,29150,Sumter County,US,Match,Exact,202679129,L,45,085,000901,2015
ATLANTIC HEALTHCARE GROUP INC,33.826856,-79.078695,911 Creel St,Conway,SC,29527,Horry County,US,Match,Exact,29096829,R,45,051,070400,3022
ATRIA FOREST LAKE,34.021068,-80.976083,4341 State Hwy 12,Columbia,SC,29206,Richland County,US,No_Match,,,,,,,
ATRIA MOUNT PLEASANT,32.817923,-79.859563,1201 Old Wanus Dr,Mount Pleasant,SC,29464,Charleston County,US,Match,Non_Exact,108809252,L,45,019,004622,1005
ATRIUM HEALTH AT HOME YORK,34.935518,-81.001952,226 120 Northpark Dr,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
ATTENTIVE ANGELS HOME CARE,34.112445,-81.188208,423 Western Ln,Irmo,SC,29063,Richland County,US,Match,Exact,645304442,R,45,079,010308,1000
ATTENTIVE CARE,33.490735,-80.856967,766 John C Calhoun Dr,Orangeburg,SC,29115,Orangeburg County,US,Match,Exact,19217535,L,45,075,011300,1009
ATTENTIVE CARE SERVICES LLC,34.853797,-82.455852,103 Commons Way,Greenville,SC,29611,Greenville County,US,No_Match,,,,,,,
AU PAIR OF HEARTS,34.837476,-82.3547,8 A Sycamore Dr,Greenville,SC,29607,Greenville County,US,Match,Exact,38303922,R,45,045,004400,2031
AUTHENTIC PEARLS,34.977046,-81.95002,102 Metro Dr,Spartanburg,SC,29303,Spartanburg County,US,Match,Exact,19491579,R,45,083,021600,1011
AXCESS HEALTHCARE SERVICES LLC,34.96849,-81.928744,120 Garner Rd,Spartanburg,SC,29303,Spartanburg County,US,Match,Exact,19487144,R,45,083,021500,3016
AXIS I CENTER OF BARNWELL,33.257686,-81.378886,176 Fuldner Rd,Barnwell,SC,29812,Barnwell County,US,Match,Exact,19082845,R,45,011,970300,4049
"AZAVARI, JAYDEE SEDMAK",35.600926,-82.553913,44 Merrimon Ave,Asheville,NC,28801,Buncombe County,US,Match,Exact,36845443,L,37,021,000600,2022
B & B ANGELIC HOME CARE SERVICES,34.949412,-82.219236,300 John St,Greer,SC,29651,Spartanburg County,US,Match,Exact,638428209,R,45,083,023301,1056
B & J RESIDENTIAL CARE FACILITY,34.076889,-81.000892,528 Atterbury Dr,Columbia,SC,29203,Richland County,US,Match,Exact,71819236,L,45,079,010702,3021
"BAILEY, PATRICIA P.",32.975719,-80.174861,118 New Spring Ct,Summerville,SC,29485,Dorchester County,US,Tie,,,,,,,
"BAKER, LYNNE A.",32.710079,-79.949076,1322 Seaside Plantation Dr,Charleston,SC,29412,Charleston County,US,Match,Exact,645439091,L,45,019,002005,3033
"BAKER, ROBERT J., JR.",35.123091,-79.444518,36140 US 1 Hwy,Aberdeen,NC,28315,Moore County,US,No_Match,,,,,,,
"BAKER, STEPHEN RANDALL",34.182046,-77.901615,418 Semmes Dr,Wilmington,NC,28412,New Hanover County,US,Match,Exact,152741562,R,37,129,012006,2025
"BAKER, THOMAS R.",32.710079,-79.949076,1322 Seaside Plantation Dr,Charleston,SC,29412,Charleston County,US,Match,Exact,645439091,L,45,019,002005,3033
"BALL, MARLENE K.",35.567018,-83.018783,3204 Jonathan Creek Rd,Waynesville,NC,28785,Haywood County,US,Match,Exact,151822279,R,37,087,920101,2004
BAMBERG DIALYSIS CLINIC,33.311184,-81.034551,NA US 601,Bamberg,SC,29003,Bamberg County,US,No_Match,,,,,,,
BATESBURG GROUP HOME,33.908065,-81.529367,132 Pinewood Dr,Batesburg,SC,29006,Lexington County,US,Match,Exact,70035557,L,45,063,021402,1038
"BAXTER, DEREK J.",34.846318,-82.337374,930 Old Airport Rd,Greenville,SC,29607,Greenville County,US,No_Match,,,,,,,
BAY MICROSURGICAL UNIT,33.372885,-79.286144,1200 Highmarket St,Georgetown,SC,29440,Georgetown County,US,Match,Exact,28965251,R,45,043,920302,1028
BAYADA HOME CARE - COLUMBIA INC,34.002984,-81.026992,1109 Pickens St,Columbia,SC,29201,Richland County,US,Match,Exact,638979698,L,45,079,003000,2012
BAYADA HOME CARE - GREENVILLE,34.856693,-82.35324,25 Woods Lake Rd,Greenville,SC,29607,Greenville County,US,Match,Exact,38357968,L,45,045,004400,2001
BAYADA HOME CARE-ROCK HILL INC,34.934594,-80.996898,454 121 Anderson Rd S,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
BAYADA HOME HEALTH CARE-GREENVILLE,34.856693,-82.35324,25 Woods Lake Rd,Greenville,SC,29607,Greenville County,US,Match,Exact,38357968,L,45,045,004400,2001
BAYADA HOME HEALTH CARE-ROCK HILL,34.948955,-80.998862,425 Anderson Rd N,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
BAYBERRY OF GREENWOOD,34.199079,-82.201781,116 Abbey Dr,Greenwood,SC,29649,Greenwood County,US,Match,Exact,50816916,L,45,047,970304,1007
BAYBERRY OF GREER,34.951692,-82.224505,309 Northview Dr,Greer,SC,29651,Greenville County,US,Match,Exact,638678819,R,45,045,002507,3025
BAYSHORE ON HILTON HEAD ISLAND,32.236446,-80.746076,421 Squire Pope Rd,Hilton Head Island,SC,29926,Beaufort County,US,Match,Exact,87616524,L,45,013,010500,2003
BAYVIEW MANOR,32.404125,-80.682646,8W Todd Dr,Beaufort,SC,29902,Beaufort County,US,Match,Exact,87632477,L,45,013,000700,4004
BB&J CARE SERVICES,34.416669,-79.375937,317 W Calhoun St,Dillon,SC,29536,Dillon County,US,Match,Non_Exact,28817778,L,45,033,970401,2016
BE PATIENT CAREGIVING,35.009048,-82.010215,451 Old John Dodd Rd,Boiling Springs,SC,29316,Spartanburg County,US,Match,Non_Exact,632432312,L,45,083,021803,2005
BEACHSIDE HOME SERVICE,33.694724,-78.883193,516 9th Ave N,Myrtle Beach,SC,29577,Horry County,US,Match,Exact,647267619,L,45,051,050600,2070
BEARD RESIDENTIAL CARE FACILITY #1,34.135562,-79.942602,123 N Warren St,Timmonsville,SC,29161,Florence County,US,Tie,,,,,,,
"BEASLEY, MICHAEL D.",32.855966,-79.783356,2957 Bluff Ln,Mount Pleasant,SC,29466,Charleston County,US,Match,Exact,108810027,L,45,019,004609,4023
"BEAUDOIN, DANIELLE W.",33.980772,-81.146941,101 Pleasant Ln,Lexington,SC,29073,Lexington County,US,Match,Exact,70084868,L,45,063,021020,1007
BEAUFORT COUNTY ALCOHOL AND DRUG ABUSE DEPARTMENT,32.436913,-80.682986,1810 Washington St,Beaufort,SC,29902,Beaufort County,US,Match,Exact,87607959,R,45,013,000700,2008
BEAUFORT MEMORIAL HOSPITAL,32.416834,-80.687469,955 Ribaut Rd,Beaufort,SC,29902,Beaufort County,US,Match,Exact,638844223,R,45,013,000700,4004
BEAUFORT TATTOO KOMPANY,32.44063,-80.706969,2443 Boundary St,Beaufort,SC,29906,Beaufort County,US,Match,Exact,646814645,L,45,013,000600,1046
BEAUTY MARKS PIERCING,32.393152,-80.754645,220 Savannah Hwy,Beaufort,SC,29906,Beaufort County,US,Match,Exact,647127942,R,45,013,000503,2021
BEAUTY MARKS TATTOOS,32.393152,-80.754645,220 Savannah Hwy,Beaufort,SC,29906,Beaufort County,US,Match,Exact,647127942,R,45,013,000503,2021
BEHAVIOR BALANCE,34.057495,-78.896459,3439 Casey St,Loris,SC,29569,Horry County,US,Match,Exact,29046354,R,45,051,020202,1070
BEHAVIORAL HEALTH SERVICES OF PICKENS COUNTY,34.884322,-82.706449,309 E Main St,Pickens,SC,29671,Pickens County,US,Tie,,,,,,,
BELIEVE HOME CARE SERVICES,33.542995,-81.815259,1469 Augusta Rd,Warrenville,SC,29851,Aiken County,US,Match,Exact,65009839,L,45,003,021102,2004
BELIEVE IN FAITH HOME CARE,33.920663,-80.352965,513 W Liberty St,Sumter,SC,29150,Sumter County,US,Match,Non_Exact,202670369,L,45,085,002000,1017
BELLA HOME CARE OF THE MIDLANDS,34.051226,-81.124191,3600 Fernandina Rd,Columbia,SC,29210,Lexington County,US,Match,Exact,70050014,R,45,063,020511,3000
BELL'S HOME CARE PROFESSIONALS,34.003679,-81.034598,1349 Main St,Columbia,SC,29201,Richland County,US,Match,Exact,71820794,L,45,079,003100,2033
BELL'S PROFESSIONAL RESIDENTIAL HOME CARE,32.882837,-80.003401,1942 Dalton St,Charleston,SC,29406,Charleston County,US,Match,Exact,108799067,R,45,019,003300,2012
BELMONT LUXURY HOME CARE LLC,33.382231,-80.42337,1706 Camden Rd,Holly Hill,SC,29059,Orangeburg County,US,Match,Exact,652909968,L,45,075,010200,2006
BELOVED HOME CARE OF THE CAROLINAS,34.964719,-81.052732,2025 K1 Ebenezer Rd,Rock Hill,SC,29732,York County,US,Match,Exact,647247475,L,45,091,060700,4019
BELVEDERE COMMONS OF SENECA,34.721884,-82.992641,516 Benton St,Seneca,SC,29672,Oconee County,US,Match,Exact,647225086,L,45,073,030500,3017
BENCHMARK HOMES - SPARTANBURG,34.943984,-81.940909,450 W Henry St,Spartanburg,SC,29306,Spartanburg County,US,Match,Non_Exact,636579541,R,45,083,020800,1005
BENCHMARK HOMES-COWPENS,35.024473,-81.811107,130 Goforth St,Cowpens,SC,29330,Spartanburg County,US,Match,Exact,624112822,R,45,083,022202,1025
BENTON HOUSE @ HOME OF WEST ASHLEY,32.81163,-80.097886,3002 Lazarette Ln,Charleston,SC,29414,Charleston County,US,Match,Exact,617586302,R,45,019,005602,1118
BENTON HOUSE OF AIKEN,33.495673,-81.750486,1566 Silver Bluff Rd,Aiken,SC,29803,Aiken County,US,No_Match,,,,,,,
BENTON HOUSE OF BLUFFTON,32.265566,-80.9344,10 Hampton Lake Dr,Bluffton,SC,29910,Beaufort County,US,Match,Exact,647875990,L,45,013,002103,2003
BENTON HOUSE OF FLORENCE,34.169142,-79.828216,1362 Celebration Blvd,Florence,SC,29501,Florence County,US,Match,Exact,645421125,L,45,041,000202,3000
BENTON HOUSE OF WEST ASHLEY,32.82883,-80.060155,2020 Wadsbury Ln,Charleston,SC,29414,Charleston County,US,Match,Exact,108877855,L,45,019,005602,3081
"BERG, CATHY A.",34.744835,-82.506677,125 Wilson Way,Piedmont,SC,29673,Anderson County,US,Match,Exact,25477255,L,45,007,010106,2002
BERKELEY ENDOSCOPY CENTER,34.093545,-80.859752,NA I 20,Columbia,SC,29223,Richland County,US,No_Match,,,,,,,
BEST FUTURE,35.073114,-80.917821,7000 Regent Pkwy,Fort Mill,SC,29715,York County,US,Match,Exact,625086140,R,45,091,061007,1005
BETHEA BAPTIST ASSISTED LIVING,34.257251,-79.839445,157 Home Ave,Darlington,SC,29532,Darlington County,US,No_Match,,,,,,,
BETHEA BAPTIST HEALTH CARE CENTER,34.257251,-79.839445,157 Home Ave,Darlington,SC,29532,Darlington County,US,No_Match,,,,,,,
BETHEA BAPTIST RETIREMENT COMMUNITY,34.257251,-79.839445,157 Home Ave,Darlington,SC,29532,Darlington County,US,No_Match,,,,,,,
BETHEA HOME HEALTH,34.257301,-79.83964,157 Home Ave,Darlington,SC,29532,Darlington County,US,No_Match,,,,,,,
BETHEL SENIOR DAY CARE CENTER,35.077356,-81.653042,424 W Floyd Baker Blvd,Gaffney,SC,29341,Cherokee County,US,Match,Non_Exact,18988384,R,45,021,970201,1010
BEYOND CARE HOME CARE SERVICES LLC - HONEA PATH,34.446001,-82.385806,512 E Greer St,Honea Path,SC,29654,Anderson County,US,Tie,,,,,,,
BEYOND CUSTOM CARE HOME CARE AGENCY,33.950276,-81.169844,324 Emanuel Creek Dr,West Columbia,SC,29170,Lexington County,US,Match,Exact,651605072,R,45,063,021033,1000
BG CONNECTIONS,32.732398,-79.975965,1 Bishop Gadsden Way,Charleston,SC,29412,Charleston County,US,Match,Exact,108887733,R,45,019,002008,1005
BHG AIKEN TREATMENT CENTER,33.572822,-81.764389,410 University Pkwy,Aiken,SC,29801,Aiken County,US,Match,Exact,64989726,R,45,003,021300,2000
BHG SPARTANBURG TREATMENT CENTER,34.996036,-81.98323,239 Access Rd,Spartanburg,SC,29303,Spartanburg County,US,Match,Exact,19491727,R,45,083,021805,3002
"BIEBINGER, ELIZABETH TORRES",35.355747,-82.520948,501 Oakwilde Dr,Hendersonville,NC,28791,Henderson County,US,Match,Exact,152271207,R,37,089,931801,1015
BIOSCRIP INFUSION SERVICES,34.90631,-82.102211,140 Congress Blvd,Duncan,SC,29334,Spartanburg County,US,No_Match,,,,,,,
BIRD STREET I COMMUNITY RESIDENTIAL CARE FACILITY,34.94407,-81.001104,1705 Bird St,Rock Hill,SC,29730,York County,US,Match,Exact,19797429,L,45,091,060802,1017
BIRD STREET II COMMUNITY RESIDENTIAL CARE FACILITY,34.944425,-81.000717,1711 Bird St,Rock Hill,SC,29730,York County,US,Match,Exact,19797429,L,45,091,060802,1017
BISHOP GADSDEN EPISCOPAL HEALTH CARE CENTER,32.733003,-79.975101,3 Bishop Gadsden Way,Charleston,SC,29412,Charleston County,US,Match,Exact,108887733,R,45,019,002008,1005
BISHOP GADSDEN EPISCOPAL RETIREMENT COMMUNITY,32.732398,-79.975965,1 Bishop Gadsden Way,Charleston,SC,29412,Charleston County,US,Match,Exact,108887733,R,45,019,002008,1005
BISHOPVILLE MANOR,34.259065,-80.170942,2779 Hwy 15 N,Bishopville,SC,29010,Lee County,US,No_Match,,,,,,,
BLACK SPARROW TATTOO STUDIO,33.206375,-79.987056,445 N Hwy 52,Moncks Corner,SC,29461,Berkeley County,US,No_Match,,,,,,,
BLACK SPARROW TATTOO STUDIO GOOSE CREEK,32.969348,-80.011794,1316 Red Bank Rd,Goose Creek,SC,29445,Berkeley County,US,No_Match,,,,,,,
BLACK WIDOW TATTOO,33.995342,-80.956823,5240 State Hwy 760,Columbia,SC,29209,Richland County,US,No_Match,,,,,,,
BLACK'S DRIVE COMMUNITY RESIDENCE,33.410259,-81.437922,131 Blacks Dr,Williston,SC,29853,Barnwell County,US,Match,Exact,645376516,L,45,011,970101,2034
BLACKVILLE HEALTHCARE AND REHAB,33.382342,-81.262672,1603 Jones Bridge Rd,Blackville,SC,29817,Barnwell County,US,Match,Exact,19065986,L,45,011,970200,1027
BLAKE AT BAXTER VILLAGE,35.021416,-80.976225,522 Sixth Baxter Crsg,Fort Mill,SC,29708,York County,US,Match,Exact,645272555,R,45,091,061004,2007
