Grant Recipient Name,Type Of Brownfields Grant,Type Of Funding,ACRES Property ID,Property Name,Property Address,Property City,Property State,Property ZIP Code,Property Size (Acres),Ownership Entity,Current Owner,Property Description,Source of Assessment Funding,Name of Entity Providing Assessment Funds,Amount of Assessment Funding,Assessment Phase,Assessment Completion Date,Cleanup Required,Contaminant Found-Petroleum,Contaminant Found-Controlled Substances,Contaminant Found-Asbestos,Contaminant Found-PCBs,Contaminant Found-VOCs,Contaminant Found-Lead,Contaminant Found-Other Metals,Contaminant Found-PAHs,Contaminant Found-Other,Contaminant Found-Other (Description),Media Affected-Soil,Media Affected-Air,Media Affected-Surface Water,Media Affected-Ground Water,Media Affected-Drinking Water,Media Affected-Sediments,Media Affected-No Media,Media Affected-Unknown,Cleanup Start Date,Cleanup Completion Date,Acres Cleaned Up,Source of Cleanup Funding,Name of Entity Providing Cleanup Funds,Amount of Cleanup Funding,Contaminant Clean Up-Petroleum,Contaminant Clean Up-Controlled Substances,Contaminant Clean Up-Asbestos,Contaminant Clean Up-PCBs,Contaminant Clean Up-VOCs,Contaminant Clean Up-Lead,Contaminant Clean Up-Other Metals,Contaminant Clean Up-PAHs,Contaminant Clean Up-Other,Contaminant Clean Up-Other (Description),Media Cleaned Up-Soil,Media Cleaned Up-Air,Media Cleaned Up-Surface Water,Media Cleaned Up-Ground Water,Media Cleaned Up-Drinking Water,Media Cleaned Up-Sediments,Source of Redevelopment Funding,Amount of Redevelopment Funding,Name of Entity Providing Redevelopment Funds,Redevelopment Start Date,Redevelopment Completion Date
Southern Carolina Regional Development Alliance,Cleanup,,137450,Former Shaw Industries Site,3405 Allendale Fairfax Highway,Fairfax,SC,29827,27,Private,Southern Carolina Regional Development Alliance,"The 27 acre single parcel property, TMS 106-00-032-00,was undeveloped and used for agricultural purposes prior to the 1960?s when a one- story industrial production facility approximately 100,000 square feet was constructed.  Various carpet manufacturers owned or operated the plant from 1963 until 2001, including Sylvania Spinning Mill, Queen Carpet, BASF, Conners & Akman, Kenlon Mills, and Shaw Industries.  The available information suggests the plant was only used for yarn spinning operations",Southern Carolina Regional Development Alliance,Private/Other Funding,3100,Phase I Environmental Assessment,8/4/09,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,,Yes,,,,,7/23/12,5/15/13,4.7,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,200000,Yes,,Yes,Yes,,,,,,,Yes,,,,,,Coordinating Council for Economic Development,500000,State/Tribal Funding (non-section 128(a))&#10,1/21/14,12/19/18
Southern Carolina Regional Development Alliance,Cleanup,,137450,Former Shaw Industries Site,3405 Allendale Fairfax Highway,Fairfax,SC,29827,27,Private,Southern Carolina Regional Development Alliance,"The 27 acre single parcel property, TMS 106-00-032-00,was undeveloped and used for agricultural purposes prior to the 1960?s when a one- story industrial production facility approximately 100,000 square feet was constructed.  Various carpet manufacturers owned or operated the plant from 1963 until 2001, including Sylvania Spinning Mill, Queen Carpet, BASF, Conners & Akman, Kenlon Mills, and Shaw Industries.  The available information suggests the plant was only used for yarn spinning operations",Southern Carolina Regional Development Alliance,Private/Other Funding,3100,Phase I Environmental Assessment,8/4/09,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,,Yes,,,,,7/23/12,5/15/13,4.7,Southern Carolina Regional Development Authority,Cost Share,61169,Yes,,Yes,Yes,,,,,,,Yes,,,,,,Coordinating Council for Economic Development,500000,State/Tribal Funding (non-section 128(a))&#10,1/21/14,12/19/18
Southern Carolina Regional Development Alliance,Cleanup,,137450,Former Shaw Industries Site,3405 Allendale Fairfax Highway,Fairfax,SC,29827,27,Private,Southern Carolina Regional Development Alliance,"The 27 acre single parcel property, TMS 106-00-032-00,was undeveloped and used for agricultural purposes prior to the 1960?s when a one- story industrial production facility approximately 100,000 square feet was constructed.  Various carpet manufacturers owned or operated the plant from 1963 until 2001, including Sylvania Spinning Mill, Queen Carpet, BASF, Conners & Akman, Kenlon Mills, and Shaw Industries.  The available information suggests the plant was only used for yarn spinning operations",Southern Carolina Regional Development Alliance,Private/Other Funding,77899,Phase II Environmental Assessment,7/14/10,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,,Yes,,,,,7/23/12,5/15/13,4.7,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,200000,Yes,,Yes,Yes,,,,,,,Yes,,,,,,,3300000,Private/Other Funding,1/21/14,12/19/18
Southern Carolina Regional Development Alliance,Cleanup,,137450,Former Shaw Industries Site,3405 Allendale Fairfax Highway,Fairfax,SC,29827,27,Private,Southern Carolina Regional Development Alliance,"The 27 acre single parcel property, TMS 106-00-032-00,was undeveloped and used for agricultural purposes prior to the 1960?s when a one- story industrial production facility approximately 100,000 square feet was constructed.  Various carpet manufacturers owned or operated the plant from 1963 until 2001, including Sylvania Spinning Mill, Queen Carpet, BASF, Conners & Akman, Kenlon Mills, and Shaw Industries.  The available information suggests the plant was only used for yarn spinning operations",Southern Carolina Regional Development Alliance,Private/Other Funding,77899,Phase II Environmental Assessment,7/14/10,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,,Yes,,,,,7/23/12,5/15/13,4.7,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,200000,Yes,,Yes,Yes,,,,,,,Yes,,,,,,Coordinating Council for Economic Development,500000,State/Tribal Funding (non-section 128(a))&#10,1/21/14,12/19/18
Southern Carolina Regional Development Alliance,Cleanup,,137450,Former Shaw Industries Site,3405 Allendale Fairfax Highway,Fairfax,SC,29827,27,Private,Southern Carolina Regional Development Alliance,"The 27 acre single parcel property, TMS 106-00-032-00,was undeveloped and used for agricultural purposes prior to the 1960?s when a one- story industrial production facility approximately 100,000 square feet was constructed.  Various carpet manufacturers owned or operated the plant from 1963 until 2001, including Sylvania Spinning Mill, Queen Carpet, BASF, Conners & Akman, Kenlon Mills, and Shaw Industries.  The available information suggests the plant was only used for yarn spinning operations",Southern Carolina Regional Development Alliance,Private/Other Funding,77899,Phase II Environmental Assessment,7/14/10,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,,Yes,,,,,7/23/12,5/15/13,4.7,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,200000,Yes,,Yes,Yes,,,,,,,Yes,,,,,,SC Dept. of Commerce,150000,State/Tribal Funding (non-section 128(a))&#10,1/21/14,12/19/18
Southern Carolina Regional Development Alliance,Cleanup,,137450,Former Shaw Industries Site,3405 Allendale Fairfax Highway,Fairfax,SC,29827,27,Private,Southern Carolina Regional Development Alliance,"The 27 acre single parcel property, TMS 106-00-032-00,was undeveloped and used for agricultural purposes prior to the 1960?s when a one- story industrial production facility approximately 100,000 square feet was constructed.  Various carpet manufacturers owned or operated the plant from 1963 until 2001, including Sylvania Spinning Mill, Queen Carpet, BASF, Conners & Akman, Kenlon Mills, and Shaw Industries.  The available information suggests the plant was only used for yarn spinning operations",Southern Carolina Regional Development Alliance,Private/Other Funding,77899,Phase II Environmental Assessment,7/14/10,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,,Yes,,,,,7/23/12,5/15/13,4.7,Southern Carolina Regional Development Authority,Cost Share,61169,Yes,,Yes,Yes,,,,,,,Yes,,,,,,,3300000,Private/Other Funding,1/21/14,12/19/18
Southern Carolina Regional Development Alliance,Cleanup,,137450,Former Shaw Industries Site,3405 Allendale Fairfax Highway,Fairfax,SC,29827,27,Private,Southern Carolina Regional Development Alliance,"The 27 acre single parcel property, TMS 106-00-032-00,was undeveloped and used for agricultural purposes prior to the 1960?s when a one- story industrial production facility approximately 100,000 square feet was constructed.  Various carpet manufacturers owned or operated the plant from 1963 until 2001, including Sylvania Spinning Mill, Queen Carpet, BASF, Conners & Akman, Kenlon Mills, and Shaw Industries.  The available information suggests the plant was only used for yarn spinning operations",Southern Carolina Regional Development Alliance,Private/Other Funding,77899,Phase II Environmental Assessment,7/14/10,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,,Yes,,,,,7/23/12,5/15/13,4.7,Southern Carolina Regional Development Authority,Cost Share,61169,Yes,,Yes,Yes,,,,,,,Yes,,,,,,SC Dept. of Commerce,150000,State/Tribal Funding (non-section 128(a))&#10,1/21/14,12/19/18
Southern Carolina Regional Development Alliance,Cleanup,,137450,Former Shaw Industries Site,3405 Allendale Fairfax Highway,Fairfax,SC,29827,27,Private,Southern Carolina Regional Development Alliance,"The 27 acre single parcel property, TMS 106-00-032-00,was undeveloped and used for agricultural purposes prior to the 1960?s when a one- story industrial production facility approximately 100,000 square feet was constructed.  Various carpet manufacturers owned or operated the plant from 1963 until 2001, including Sylvania Spinning Mill, Queen Carpet, BASF, Conners & Akman, Kenlon Mills, and Shaw Industries.  The available information suggests the plant was only used for yarn spinning operations",Southern Carolina Regional Development Alliance,Private/Other Funding,3100,Phase I Environmental Assessment,8/4/09,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,,Yes,,,,,7/23/12,5/15/13,4.7,Southern Carolina Regional Development Authority,Cost Share,61169,Yes,,Yes,Yes,,,,,,,Yes,,,,,,,3300000,Private/Other Funding,1/21/14,12/19/18
"North Charleston, City of",Assessment,,137561,1901 Reynolds Property,1901 Reynolds Avenue,North Charleston,SC,29405,0.24,Government,The City of North Charleston,"Between 1944 and 1975, the site was developed with various social clubs, restaurants, and grocery stores.  Between 1876 and 1984, the site was used as a tire store and automobile repair facility.  At this time, four underground storage tanks UST and fuel dispensing system was operated on the site.  The site was vacant between 1984 and the present.  The UST system remains onsite.  Additionally, surrounding usesidentified as RECs consist of a former gasolina tank, and two dry cleaners.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2376,Phase I Environmental Assessment,11/22/11,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Charleston, City of",Assessment,,137561,1901 Reynolds Property,1901 Reynolds Avenue,North Charleston,SC,29405,0.24,Government,The City of North Charleston,"Between 1944 and 1975, the site was developed with various social clubs, restaurants, and grocery stores.  Between 1876 and 1984, the site was used as a tire store and automobile repair facility.  At this time, four underground storage tanks UST and fuel dispensing system was operated on the site.  The site was vacant between 1984 and the present.  The UST system remains onsite.  Additionally, surrounding usesidentified as RECs consist of a former gasolina tank, and two dry cleaners.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,13812,Phase II Environmental Assessment,6/21/12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Charleston, City of",Assessment,,137562,Duggan Trust Property,Alston Avenue,North Charleston,SC,29405,0.19,Government,The City of North Charleston,"The property is current vacant and contains no structures.  The immediate surrounding area is mainly residential.  However, numerous heavy commercial and industrial properties are located in the near vicinity.  The past ownership did not reveal any potential environmental concerns and the surrounding properties do not represent offsite RECs.  No additional assessment is recommended.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,1700,Phase I Environmental Assessment,12/15/11,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hartsville, City of",Assessment,,162162,Milliken Properties Area 1,498-401 Easy Street,Hartsville,SC,29550,29,Private,Milliken Enterprises of Spartanburg,The property compriseed of land parcels that are currently underdeveloped lots. The land cover is primarily grassy to wooded with no pavement. No otehr above ground structures are present on the property.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,8500,Phase I Environmental Assessment,4/15/13,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hartsville, City of",Assessment,,162184,Milliken Property Area 2,598-501 Mill Avenue,Hartsville,SC,29550,6,Private,Pacolet MIlliken Enterprises,"The property and immediate vicinity include mixed development of both commercial adn residential properties. The Subject property is bordered to the norht by Evans Street followed by residential properties followed by the South Carolina Governor's School for Science and Mathematics, to the east by residential properties and undeveloped lland parcels, to the west by residential properties including a Sunono retail gas station.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,11000,Phase I Environmental Assessment,4/15/13,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hartsville, City of",Assessment,,162187,Milliken Property Area 3,516-501 Jordan Street,Hartsville,SC,29550,1,Private,Pacolet Milliken Enterprises of Spartanburg,The property and immediate vicinity include mixed development land parcels that are currently undeveloped lots.The land cover is primarily grass with large to medium size trees.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,4/15/13,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hartsville, City of",Assessment,,162188,Milliken Property Area 4,498-401 Easy Street,Hartsville,SC,29550,0.6,,,,EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,4/15/13,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston County,Assessment,,171224,Hanover Property,62 Hanover Street,Charleston,SC,29403,0.09,Private,Vanderhorst Memorial Christian Episcopal Church,"The Property was developed with the current structure in 1872.  A Phase I ESA identified the potential for asbestos containing materials (ACMs).  A limited building assessment identified ACMs in siding, flooring, and roof flashing and/or caulk.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2600,Phase I Environmental Assessment,2/14/14,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston County,Assessment,,171224,Hanover Property,62 Hanover Street,Charleston,SC,29403,0.09,Private,Vanderhorst Memorial Christian Episcopal Church,"The Property was developed with the current structure in 1872.  A Phase I ESA identified the potential for asbestos containing materials (ACMs).  A limited building assessment identified ACMs in siding, flooring, and roof flashing and/or caulk.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2159,Phase II Environmental Assessment,2/14/14,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Carolina , State of",BCRLF,,136969,Bell Buoy Seafood Site,3706 Dockside Road,Edisto Island,SC,29438,1.16,Government,Town of Edisto Beach,,,,,,,Yes,Yes,,,,,,Yes,,,,Yes,,,,,Yes,,,3/1/07,1/10/11,1.16,EPA,Brownfields RLF Grant Funds Loaned,77884,,,,,,,,,,,Yes,,,,,,General Obligation Bond,2700000,Local Funding,1/13/11,3/10/11
"South Carolina , State of",BCRLF,,136969,Bell Buoy Seafood Site,3706 Dockside Road,Edisto Island,SC,29438,1.16,Government,Town of Edisto Beach,,,,,,,Yes,Yes,,,,,,Yes,,,,Yes,,,,,Yes,,,3/1/07,1/10/11,1.16,EPA,Brownfields RLF Grant Funds Loaned,77884,,,,,,,,,,,Yes,,,,,,Conservation Land Grant,2000000,Other Federal Funding,1/13/11,3/10/11
"South Carolina , State of",BCRLF,,136969,Bell Buoy Seafood Site,3706 Dockside Road,Edisto Island,SC,29438,1.16,Government,Town of Edisto Beach,,,,,,,Yes,Yes,,,,,,Yes,,,,Yes,,,,,Yes,,,3/1/07,1/10/11,1.16,EPA,Brownfields RLF Grant Funds Subgranted,100000,,,,,,,,,,,Yes,,,,,,Conservation Land Grant,2000000,Other Federal Funding,1/13/11,3/10/11
"South Carolina , State of",BCRLF,,136969,Bell Buoy Seafood Site,3706 Dockside Road,Edisto Island,SC,29438,1.16,Government,Town of Edisto Beach,,,,,,,Yes,Yes,,,,,,Yes,,,,Yes,,,,,Yes,,,3/1/07,1/10/11,1.16,EPA,Brownfields RLF Grant Funds Subgranted,100000,,,,,,,,,,,Yes,,,,,,General Obligation Bond,2700000,Local Funding,1/13/11,3/10/11
Housing Authority of the City of Aiken,Assessment,,137025,Vaucluse Landfill,191 Old Graniteville Highway,Aiken,SC,29803,128.38,Private,Graniteville Company,"The subject property is bounded to the east by undeveloped wooded land.  The subject property is bounded to the west by undeveloped wooded areas and to the northwest by S.C. Highway 191 with mostly undeveloped wooded land beyond S.C. Highway 191.  Features present on the subject property include a dirt logging road, which transects the property in a generally east-west direction a spring head and unnamed tributary to Good Spring Branch located near the central portion of the property and the on-",EPA,US EPA - Brownfields Assessment Cooperative Agreement,75000,Phase II Environmental Assessment,10/15/10,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
